UBIGEO,distid,DEPARTAMENTO,PROVINCIA,Distrito,Pob_hab,Pob_rnk,IDH,IDH_rnk,EVN,EVN_rnk,pc_EDC,pc_EDC_rnk,yrs_ED,yrs_ED_rnk,IFPC,IFPC_rnk
120128,21,JUNIN,HUANCAYO,Quilcas                                 ,4151,918,0.4627,619,71.38,1327,67.97,481,7.25,655,653.8,677
120129,22,JUNIN,HUANCAYO,San Agustin                             ,14174,362,0.5489,343,71.86,1261,78.18,112,9.46,201,838.9,431
120130,23,JUNIN,HUANCAYO,San Jeronimo De Tunan   ,11142,452,0.5462,353,72.19,1203,72.71,282,9.62,179,841.9,425
120132,24,JUNIN,HUANCAYO,Saño                                    ,4751,857,0.476,561,71.17,1354,75.54,191,6.9,749,697.9,612
120133,25,JUNIN,HUANCAYO,Sapallanga                              ,16344,324,0.476,560,72.24,1194,71.06,352,7.73,527,654.7,674
120134,26,JUNIN,HUANCAYO,Sicaya                                  ,13113,400,0.5286,402,73.43,1035,72.99,275,8.48,366,804.6,469
120135,27,JUNIN,HUANCAYO,Santo Domingo De Acobamba  ,6242,717,0.3841,940,71.47,1317,55.95,982,6.9,752,437.4,1065
120136,28,JUNIN,HUANCAYO,Viques                                  ,2367,1217,0.4322,729,73.89,960,69.22,434,7.15,675,513.5,907
120201,1,JUNIN,CONCEPCION,Concepcion                              ,14877,348,0.559,314,69.17,1545,70.41,379,9.97,143,954.3,307
120202,2,JUNIN,CONCEPCION,Aco                                     ,1414,1460,0.3773,980,74.08,932,57.34,927,7.05,707,386.6,1208
120203,3,JUNIN,CONCEPCION,Andamarca                               ,3484,1012,0.2635,1618,74.11,926,47.76,1298,4.03,1721,236.4,1596
120204,4,JUNIN,CONCEPCION,Chambara                                ,2686,1151,0.3314,1245,71.05,1373,56.2,973,6.83,773,297.1,1436
120205,5,JUNIN,CONCEPCION,Cochas                                  ,1405,1465,0.3943,898,72.77,1133,45.26,1383,5.07,1387,622.6,721
120206,6,JUNIN,CONCEPCION,Comas                                   ,4486,882,0.3742,998,72.79,1130,54.53,1040,4.89,1451,505.9,919
120207,7,JUNIN,CONCEPCION,Heroinas Toledo                         ,859,1656,0.3058,1401,71.47,1318,35.18,1647,5.26,1319,345.9,1307
120208,8,JUNIN,CONCEPCION,Manzanares                              ,1293,1501,0.4666,602,75.08,784,70.96,356,8.9,295,538.5,863
120209,9,JUNIN,CONCEPCION,Mariscal Castilla                       ,1572,1411,0.1531,1857,74.6,845,46.67,1331,5.34,1284,66.4,1869
120210,10,JUNIN,CONCEPCION,Matahuasi                               ,5279,797,0.515,442,70.89,1387,60.88,771,8.81,310,838.2,432
120211,11,JUNIN,CONCEPCION,Mito                                    ,1270,1510,0.5094,464,69.8,1479,68.31,465,8.91,294,781.5,500
120212,12,JUNIN,CONCEPCION,Nueve De Julio                          ,1555,1419,0.5065,473,71.14,1361,59.3,831,8.25,414,837.6,433
120213,13,JUNIN,CONCEPCION,Orcotuna                                ,4404,888,0.4407,701,77.24,491,65.23,603,7.53,577,507.3,916
120214,14,JUNIN,CONCEPCION,San Jose De Quero  ,5513,771,0.2415,1695,73.44,1030,58.74,856,6.11,992,136.8,1798
120215,15,JUNIN,CONCEPCION,Santa Rosa De Ocopa   ,1892,1334,0.5166,436,71.33,1336,67.94,484,7.84,492,853.7,410
120301,1,JUNIN,CHANCHAMAYO,Chanchamayo    ,24595,234,0.5874,239,75.06,788,65.28,598,9.16,239,1064.6,213
120302,2,JUNIN,CHANCHAMAYO,Perene                                  ,73768,89,0.4296,737,74.53,855,56.25,970,6.7,813,572.5,796
120303,3,JUNIN,CHANCHAMAYO,Pichanaqui                              ,61517,105,0.4505,662,78.21,381,53.36,1083,6.96,736,612.2,739
120304,4,JUNIN,CHANCHAMAYO,San Luis De Shuaro   ,6142,725,0.4309,732,74.27,894,49.83,1233,6.62,839,619.4,725
120305,5,JUNIN,CHANCHAMAYO,San Ramon                               ,25836,218,0.5524,330,74.69,831,62.92,694,8.66,338,945,321
120306,6,JUNIN,CHANCHAMAYO,Vitoc                                   ,782,1674,0.5508,333,73.02,1098,59.24,832,7.36,620,1103.7,183
120401,1,JUNIN,JAUJA,Jauja                                   ,14305,360,0.5793,259,70.27,1437,73.93,245,10.4,97,984.6,274
120402,2,JUNIN,JAUJA,Acolla                                  ,5696,758,0.4847,538,71.71,1280,62.98,690,7.68,538,740.8,550
120403,3,JUNIN,JAUJA,Apata                                   ,3234,1047,0.4619,622,69.78,1482,72.24,307,6.9,754,674.4,646
120404,4,JUNIN,JAUJA,Ataura                                  ,1096,1574,0.5559,320,70.77,1403,68.55,452,9.41,208,951,314
120405,5,JUNIN,JAUJA,Canchayllo                              ,1564,1416,0.4251,755,67.96,1631,57.77,910,7.81,502,570.1,801
120406,6,JUNIN,JAUJA,Curicaca                                ,1425,1457,0.4546,646,68.73,1577,55.06,1020,7.08,699,737.2,554
120407,7,JUNIN,JAUJA,El Mantaro                              ,2552,1174,0.5407,365,74.81,813,71.17,343,9.18,235,806.6,466
120408,8,JUNIN,JAUJA,Huamali                                 ,1568,1414,0.4927,512,71.26,1343,64.58,633,8.76,320,714.7,584
120409,9,JUNIN,JAUJA,Huaripampa                              ,735,1693,0.544,356,73.04,1091,66.79,529,9.05,262,884,380
120410,10,JUNIN,JAUJA,Huertas                                 ,1705,1387,0.4631,615,70.34,1431,64.26,648,8.63,344,617.8,727
120411,11,JUNIN,JAUJA,Janjaillo                               ,458,1805,0.2474,1680,70.38,1429,54.15,1051,5.1,1370,174.1,1726
120412,12,JUNIN,JAUJA,Julcan                                  ,600,1742,0.5168,435,71.5,1311,69.25,430,8.44,376,806.6,465
120413,13,JUNIN,JAUJA,Leonor Ordoñez    ,1410,1464,0.5133,450,70.29,1433,78.23,110,8.7,331,751.7,536
120414,14,JUNIN,JAUJA,Llocllapampa                            ,846,1660,0.4765,559,68.67,1581,64.68,630,7.79,509,736.7,555
120415,15,JUNIN,JAUJA,Marco                                   ,1219,1529,0.4133,815,72.16,1211,58.36,883,7.38,615,497.3,942
120416,16,JUNIN,JAUJA,Masma                                   ,1823,1354,0.3934,903,68.69,1578,57.87,907,7.53,576,461.5,1017
120417,17,JUNIN,JAUJA,Masma Chicche   ,591,1746,0.4167,794,75.45,726,76.95,152,4.99,1417,545.7,852
120418,18,JUNIN,JAUJA,Molinos                                 ,1317,1492,0.3574,1094,73.35,1049,56.72,949,6.37,916,361.7,1269
120419,19,JUNIN,JAUJA,Monobamba     ,1130,1561,0.4187,781,71.34,1334,59.45,822,6.2,963,580.8,783
120420,20,JUNIN,JAUJA,Muqui                                   ,943,1624,0.5104,457,73.88,962,59.32,830,8.77,317,780.3,501
120421,21,JUNIN,JAUJA,Muquiyauyo                              ,2198,1251,0.5423,360,74.97,797,69.86,397,8.48,365,858.2,406
120422,22,JUNIN,JAUJA,Paca                                    ,759,1687,0.444,688,72.7,1143,73.35,260,6.45,883,589.1,772
120423,23,JUNIN,JAUJA,Paccha                                  ,1268,1512,0.4538,649,70.05,1458,65.44,590,6.9,751,667.8,656
120424,24,JUNIN,JAUJA,Pancan                                  ,1184,1543,0.5142,444,68.29,1615,74.47,226,8.13,436,841.1,426
120425,25,JUNIN,JAUJA,Parco                                   ,918,1633,0.4766,558,69.19,1541,73.17,266,7.97,462,677.4,642
120426,26,JUNIN,JAUJA,Pomacancha    ,1471,1442,0.3331,1236,69.33,1525,37.67,1584,4.93,1436,463.1,1013
120427,27,JUNIN,JAUJA,Ricran                                  ,1185,1541,0.3583,1088,72.01,1228,44.34,1414,5.2,1340,478.8,985
120428,28,JUNIN,JAUJA,San Lorenzo                             ,2559,1172,0.507,469,73.8,977,63.86,661,8.36,389,762.3,521
120429,29,JUNIN,JAUJA,San Pedro De Chunan   ,685,1708,0.4234,764,67.94,1634,55.84,987,7.86,486,570.8,799
120430,30,JUNIN,JAUJA,Sausa                                   ,3048,1088,0.5443,354,74.66,835,74.5,220,9.1,249,811,461
120431,31,JUNIN,JAUJA,Sincos                                  ,4768,853,0.3829,946,69.54,1506,61.9,734,7.61,558,405.7,1153
120432,32,JUNIN,JAUJA,Tunan Marca                             ,957,1616,0.4778,554,75,793,74.42,227,7.13,679,645.3,686
120433,33,JUNIN,JAUJA,Yauli                                   ,897,1642,0.4678,596,68.55,1588,70.02,388,7.47,589,692,621
120434,34,JUNIN,JAUJA,Yauyos                                  ,8828,545,0.5559,319,72.2,1200,69.3,424,9.55,188,910.1,349
120501,1,JUNIN,JUNIN,Junin                                   ,6833,669,0.4881,524,69.77,1483,66.9,524,8.73,324,707.3,595
120502,2,JUNIN,JUNIN,Carhuamayo  ,6161,724,0.4515,656,71.42,1324,62.34,722,7.58,563,617.1,729
120503,3,JUNIN,JUNIN,Ondores                                 ,454,1808,0.4969,504,67.88,1636,73.88,248,7.7,534,799.2,476
120504,4,JUNIN,JUNIN,Ulcumayo                                ,3636,988,0.2254,1745,69.32,1527,52.98,1102,4.65,1550,152.2,1774
120601,1,JUNIN,SATIPO,Satipo                                  ,42934,145,0.5056,478,71.65,1291,59.72,818,8.33,395,816.7,456
120602,2,JUNIN,SATIPO,Coviriali                               ,6339,710,0.3869,935,72.99,1103,49.62,1243,6.54,862,473.5,998
120603,3,JUNIN,SATIPO,Llaylla                                 ,6984,664,0.3913,912,72.68,1147,64.76,623,5.53,1213,485.5,970
120604,4,JUNIN,SATIPO,Mazamari  ,59216,109,0.4285,739,75.41,734,60.01,809,7.29,636,514.1,906
120605,5,JUNIN,SATIPO,Pampa Hermosa  ,8248,573,0.3119,1373,75.35,741,39.89,1528,5.45,1242,313.3,1388
120606,6,JUNIN,SATIPO,Pangoa              ,66993,95,0.3571,1096,73.75,984,43.81,1425,6.48,876,398.4,1174
120607,7,JUNIN,SATIPO,Rio Negro                               ,27485,201,0.3896,921,73.53,1016,58.13,899,6.82,778,432.8,1085
120608,8,JUNIN,SATIPO,Rio Tambo                               ,50184,126,0.2805,1531,78.56,340,33.33,1703,5.09,1371,254.1,1544
120609,9,JUNIN,SATIPO,Vizcatan del Ene,5094,812,0.3982,885,77.19,497,53.44,1078,5.77,1121,498,940
120701,1,JUNIN,TARMA,Tarma                                   ,43269,144,0.5493,342,73.03,1096,68.83,441,9.23,228,885.6,379
120702,2,JUNIN,TARMA,Acobamba                                ,11238,449,0.42,775,73.15,1078,65.53,588,7.23,659,489.6,960
120703,3,JUNIN,TARMA,Huaricolca                              ,2513,1184,0.3958,893,75.66,692,57.28,929,5.53,1211,501.5,934
120704,4,JUNIN,TARMA,Huasahuasi                              ,11960,428,0.4094,827,74.64,839,46.47,1340,5.32,1291,637.2,705
120705,5,JUNIN,TARMA,La Union                                ,2744,1142,0.5136,448,76.04,644,77.61,130,7.8,504,720.4,574
120706,6,JUNIN,TARMA,Palca                                   ,4755,856,0.3785,972,75.34,743,49.9,1231,5.36,1268,485.4,971
120707,7,JUNIN,TARMA,Palcamayo                               ,7061,653,0.3874,931,77.13,507,66.33,548,5.67,1163,422.8,1110
120708,8,JUNIN,TARMA,San Pedro De Cajas  ,4341,894,0.3807,959,78.77,312,56.81,944,5.92,1071,408.7,1143
120709,9,JUNIN,TARMA,Tapo                                    ,5155,808,0.2783,1542,76.28,609,46.01,1354,4.74,1515,236.3,1597
120801,1,JUNIN,YAULI,La Oroya                                ,8997,538,0.6212,165,75.52,716,70.9,357,10.05,129,1128.4,168
120802,2,JUNIN,YAULI,Chacapalpa                              ,546,1764,0.4142,810,75.11,780,46.63,1334,6.41,897,574.2,793
120803,3,JUNIN,YAULI,Huay-Huay                               ,1539,1425,0.6325,143,77.89,416,64.05,656,9.97,144,1201.2,130
120804,4,JUNIN,YAULI,Marcapomacocha   ,1047,1588,0.5303,397,77.37,475,48.71,1273,7.85,489,959.1,299
120805,5,JUNIN,YAULI,Morococha                               ,4146,919,0.7278,39,80.05,193,69.54,407,10.38,100,1632.8,24
120806,6,JUNIN,YAULI,Paccha                                  ,1495,1436,0.602,206,75.8,675,73.06,274,9.15,242,1068.3,210
120807,7,JUNIN,YAULI,Santa Barbara De Carhuacayan,1961,1307,0.5751,273,79.07,276,53.03,1099,8.34,392,1087.9,197
120808,8,JUNIN,YAULI,Santa Rosa De Sacco,9043,536,0.6321,145,78.73,318,73.41,255,9.96,145,1105.5,180
120809,9,JUNIN,YAULI,Suitucancha                             ,892,1645,0.3612,1071,73.35,1053,48.21,1287,7.03,713,376.9,1228
120810,10,JUNIN,YAULI,Yauli                                   ,4923,830,0.7045,46,76.04,643,68.75,445,10.76,61,1573.8,29
120901,1,JUNIN,CHUPACA,Chupaca                                 ,21173,268,0.5485,346,71.69,1285,72.12,314,9.51,194,870.5,393
120902,2,JUNIN,CHUPACA,Ahuac                                   ,5463,778,0.4737,574,70.86,1391,67.9,486,8.06,447,661.5,663
120903,3,JUNIN,CHUPACA,Chongos Bajo                            ,3892,957,0.4658,605,71.99,1232,65.88,570,8.02,453,627.4,716
120904,4,JUNIN,CHUPACA,Huachac                                 ,3560,998,0.5386,368,73.88,961,68.81,443,8.63,345,856.9,407
120905,5,JUNIN,CHUPACA,Huamancaca Chico    ,8103,585,0.5544,325,73.04,1094,69.49,410,8.49,364,951.8,313
120906,6,JUNIN,CHUPACA,San Juan De Yscos    ,1967,1304,0.5223,423,73.45,1028,76.06,175,8.41,381,765.8,518
120907,7,JUNIN,CHUPACA,San Juan De Jarpa       ,2998,1098,0.2872,1504,75.13,779,51.86,1160,5.36,1271,228.8,1616
120908,8,JUNIN,CHUPACA,Tres De Diciembre    ,2399,1209,0.5034,489,76.44,586,60.99,767,8.66,337,710.4,593
120909,9,JUNIN,CHUPACA,Yanacancha                              ,3090,1075,0.3623,1064,71.23,1348,51.37,1180,5.95,1059,428,1100
130101,1,LA LIBERTAD,TRUJILLO,Trujillo                                ,331253,15,0.7151,43,79.58,231,77.26,141,11.81,24,1377.9,71
130102,2,LA LIBERTAD,TRUJILLO,El Porvenir                             ,209189,23,0.5629,306,79.35,251,59.07,840,7.88,481,999.9,259
130103,3,LA LIBERTAD,TRUJILLO,Florencia De Mora   ,40839,149,0.566,296,80.07,191,64.73,625,8.83,306,895.2,365
130104,4,LA LIBERTAD,TRUJILLO,Huanchaco                               ,76607,78,0.583,247,78.24,377,62.24,727,8.81,311,1028.2,237
130105,5,LA LIBERTAD,TRUJILLO,La Esperanza                            ,197398,25,0.5962,222,78.86,300,67.4,512,9.29,221,1010.6,253
130106,6,LA LIBERTAD,TRUJILLO,Laredo                                  ,34739,166,0.593,227,80.24,179,64.76,624,8.52,361,1043.4,229
130107,7,LA LIBERTAD,TRUJILLO,Moche                                   ,37259,158,0.6183,172,78.46,354,66.19,551,9.47,200,1128.6,167
130108,8,LA LIBERTAD,TRUJILLO,Poroto                                  ,2524,1179,0.448,675,78.24,378,52.08,1148,6.22,958,655.3,672
130109,9,LA LIBERTAD,TRUJILLO,Salaverry                               ,20631,272,0.5705,287,78.73,317,66.01,558,8.93,289,922.6,340
130110,10,LA LIBERTAD,TRUJILLO,Simbal                                  ,4289,896,0.4511,659,77.59,452,54.72,1029,5.94,1063,681.4,636
130111,11,LA LIBERTAD,TRUJILLO,Victor Larco Herrera                    ,66890,96,0.7532,21,80,198,76.99,150,11.74,26,1599.6,26
130201,1,LA LIBERTAD,ASCOPE,Ascope                                  ,6120,727,0.55,341,76.84,537,70.62,368,8.84,304,837.1,434
130202,2,LA LIBERTAD,ASCOPE,Chicama                                 ,15563,336,0.5722,281,77.67,439,66.21,549,8.46,372,978.4,278
130203,3,LA LIBERTAD,ASCOPE,Chocope                                 ,8414,564,0.6138,185,77.49,467,77.55,133,9.29,222,1053.7,223
130204,4,LA LIBERTAD,ASCOPE,Magdalena De Cao    ,3055,1085,0.5735,279,78.3,370,65.65,582,8.31,401,989,271
130205,5,LA LIBERTAD,ASCOPE,Paijan                                  ,27037,207,0.5345,381,76.8,542,64.58,634,7.84,497,867.3,396
130206,6,LA LIBERTAD,ASCOPE,Razuri                                  ,9448,513,0.5605,311,76.61,562,62.76,699,7.99,458,999.8,260
130207,7,LA LIBERTAD,ASCOPE,Santiago De Cao      ,19535,285,0.6176,176,78.68,324,72.14,312,9.28,225,1088,196
130208,8,LA LIBERTAD,ASCOPE,Casa Grande                             ,30558,184,0.6189,169,78.52,348,75.14,202,9.33,215,1072.8,207
130301,1,LA LIBERTAD,BOLIVAR,Bolivar                                 ,4441,886,0.3286,1266,76.74,549,39.31,1544,5.61,1182,347.1,1303
130302,2,LA LIBERTAD,BOLIVAR,Bambamarca      ,3492,1007,0.2145,1771,82.42,45,20.89,1848,3.77,1771,184.4,1712
130303,3,LA LIBERTAD,BOLIVAR,Condormarca                             ,1674,1392,0.2596,1632,78.91,295,31.13,1743,4.73,1521,224.4,1627
130304,4,LA LIBERTAD,BOLIVAR,Longotea                                ,1867,1345,0.3492,1137,77.24,493,32.96,1708,6.1,999,416.7,1128
130305,5,LA LIBERTAD,BOLIVAR,Uchumarca                               ,2254,1238,0.2968,1450,78.85,301,34.38,1671,5.61,1191,271.5,1499
130306,6,LA LIBERTAD,BOLIVAR,Ucuncha                                 ,638,1724,0.2986,1435,83.73,23,23.12,1834,5.13,1362,322.9,1367
130401,1,LA LIBERTAD,CHEPEN,Chepen                                  ,48424,129,0.5886,235,78.81,307,72.29,302,8.76,318,976.2,283
130402,2,LA LIBERTAD,CHEPEN,Pacanga                                 ,24701,231,0.5115,453,78.61,334,61.15,759,6.42,893,862.4,400
130403,3,LA LIBERTAD,CHEPEN,Pueblo Nuevo                            ,14506,353,0.527,407,78.69,322,63.76,668,7.11,692,860.9,403
130501,1,LA LIBERTAD,JULCAN,Julcan                                  ,9272,522,0.2726,1577,71.93,1244,48.53,1276,4.18,1689,259.1,1531
130502,2,LA LIBERTAD,JULCAN,Calamarca                               ,4284,898,0.193,1810,73.38,1042,41.26,1498,3.95,1738,122.8,1818
130503,3,LA LIBERTAD,JULCAN,Carabamba                               ,5826,744,0.1966,1802,71.88,1254,36.84,1600,3.78,1763,140.7,1794
130504,4,LA LIBERTAD,JULCAN,Huaso                                   ,6759,679,0.1574,1854,72.34,1183,33.47,1699,3.59,1802,94.4,1849
130601,1,LA LIBERTAD,OTUZCO,Otuzco                                  ,26695,211,0.381,955,74.45,867,51.52,1173,5.62,1178,479.2,984
130602,2,LA LIBERTAD,OTUZCO,Agallpampa                              ,8888,543,0.235,1715,75.21,766,38.99,1552,3.77,1770,199.3,1680
130604,3,LA LIBERTAD,OTUZCO,Charat                                  ,2259,1234,0.2251,1747,75.55,708,35.65,1635,4.5,1606,163.2,1750
130605,4,LA LIBERTAD,OTUZCO,Huaranchal                              ,4270,901,0.2543,1659,75.26,756,29.41,1767,4.65,1547,234.1,1602
130606,5,LA LIBERTAD,OTUZCO,La Cuesta                               ,614,1736,0.2166,1763,73.54,1015,27.37,1794,4.6,1567,168.2,1745
130608,6,LA LIBERTAD,OTUZCO,Mache                                   ,2776,1135,0.3208,1320,78.47,353,53.09,1097,4.69,1536,312.8,1391
130610,7,LA LIBERTAD,OTUZCO,Paranday                                ,629,1729,0.2339,1720,73.86,967,50.33,1218,3.74,1775,182.6,1714
130611,8,LA LIBERTAD,OTUZCO,Salpo                                   ,5611,764,0.2791,1538,74.57,851,46.62,1335,4.87,1456,239.3,1589
130613,9,LA LIBERTAD,OTUZCO,Sinsicap                                ,7770,607,0.149,1860,77.08,516,27.65,1791,2.79,1862,102.8,1840
130614,10,LA LIBERTAD,OTUZCO,Usquil                                  ,24236,239,0.1883,1821,75.93,657,28.8,1773,3.26,1836,147.7,1781
130701,1,LA LIBERTAD,PACASMAYO,San Pedro De Lloc ,16853,317,0.6139,183,80.85,127,64.49,637,9.14,243,1095.7,189
130702,2,LA LIBERTAD,PACASMAYO,Guadalupe                               ,43898,141,0.5651,299,81.32,89,68.68,448,7.87,484,909.7,350
130703,3,LA LIBERTAD,PACASMAYO,Jequetepeque                            ,4003,941,0.5536,327,80.66,142,53.81,1064,7.4,608,1013.3,250
130704,4,LA LIBERTAD,PACASMAYO,Pacasmayo                               ,27554,200,0.5969,219,81.56,81,74.23,235,9.72,166,898.8,360
130705,5,LA LIBERTAD,PACASMAYO,San Jose                                ,12592,414,0.5351,376,83.24,30,65.52,589,6.88,761,839.1,430
130801,1,LA LIBERTAD,PATAZ,Tayabamba                               ,13901,369,0.3198,1327,72.76,1134,46.47,1339,5.09,1373,343.6,1315
130802,2,LA LIBERTAD,PATAZ,Buldibuyo                               ,3717,975,0.3589,1083,74.14,922,37.64,1585,4.9,1447,520.2,897
130803,3,LA LIBERTAD,PATAZ,Chillia                                 ,13391,391,0.2295,1737,77.37,474,32.94,1710,3.76,1773,195.1,1693
130804,4,LA LIBERTAD,PATAZ,Huancaspata                             ,6014,736,0.2316,1728,79.97,203,36.77,1602,4.21,1685,168.7,1741
130805,5,LA LIBERTAD,PATAZ,Huaylillas                              ,2881,1114,0.3093,1382,73.97,948,25.07,1819,5.41,1253,388.7,1196
130806,6,LA LIBERTAD,PATAZ,Huayo                                   ,3977,946,0.2291,1738,71.37,1329,33.07,1707,3.78,1766,213.8,1651
130807,7,LA LIBERTAD,PATAZ,Ongon                                   ,1514,1428,0.1736,1844,75.03,789,34.14,1675,3.92,1746,103.4,1838
130808,8,LA LIBERTAD,PATAZ,Parcoy                                  ,22859,250,0.5483,347,73.41,1037,54.77,1028,7.76,518,1085.4,200
130809,9,LA LIBERTAD,PATAZ,Pataz                                   ,9440,514,0.4686,594,72.39,1182,42.14,1473,6.69,817,878.3,387
130810,10,LA LIBERTAD,PATAZ,Pias                                    ,1225,1525,0.41,823,76.96,528,41.4,1491,5.13,1363,664.7,660
130811,11,LA LIBERTAD,PATAZ,Santiago De Challas  ,2000,1301,0.2057,1782,78.69,323,38.11,1578,4.25,1674,128.5,1809
130812,12,LA LIBERTAD,PATAZ,Taurija                                 ,2817,1127,0.2435,1690,76.45,584,45.98,1356,4.76,1508,169,1740
130813,13,LA LIBERTAD,PATAZ,Urpay                                   ,2148,1267,0.2406,1698,76.87,532,63.81,666,4.57,1580,147.6,1783
130901,1,LA LIBERTAD,SANCHEZ CARRION,Huamachuco   ,69564,92,0.3987,883,72.98,1106,58.65,858,5.61,1190,527.7,885
130902,2,LA LIBERTAD,SANCHEZ CARRION,Chugay                                  ,18540,298,0.1492,1859,78.93,290,33.56,1697,2.14,1871,136.3,1799
130903,3,LA LIBERTAD,SANCHEZ CARRION,Cochorco                                ,9082,532,0.2071,1780,73.61,1006,29.74,1761,3.11,1850,197.9,1683
130904,4,LA LIBERTAD,SANCHEZ CARRION,Curgos                                  ,8213,577,0.1173,1872,77.45,469,33.9,1686,2.91,1857,62.9,1871
130905,5,LA LIBERTAD,SANCHEZ CARRION,Marcabal                                ,13897,370,0.1405,1863,78.51,349,37.1,1594,2.21,1869,109.2,1833
130906,6,LA LIBERTAD,SANCHEZ CARRION,Sanagoran                               ,14977,344,0.1244,1870,73.72,987,24.97,1820,2.08,1872,117.7,1825
130907,7,LA LIBERTAD,SANCHEZ CARRION,Sarin                                   ,9862,495,0.1814,1835,78.33,367,31.58,1738,2.87,1858,142.4,1791
130908,8,LA LIBERTAD,SANCHEZ CARRION,Sartimbamba                             ,13368,393,0.1578,1853,73.35,1051,20.34,1852,2.8,1861,135.2,1800
131001,1,LA LIBERTAD,SANTIAGO DE CHUCO,Santiago De Chuco   ,18795,293,0.3207,1321,75.21,764,45.34,1380,5.32,1294,324.8,1359
131002,2,LA LIBERTAD,SANTIAGO DE CHUCO,Angasmarca                              ,6369,708,0.348,1147,80.94,120,31.9,1728,5.26,1321,434.5,1077
