VueltaE,DEPARTAMENTO,PROVINCIA,DISTRITO,GREGION,votos_emitidos,n_electores_habiles,votos_nulos_blancos,PARTIDO,NVOTOS,porc_V,UBIGEO,distid,Pob_hab,Pob_rnk,IDH,IDH_rnk,EVN,EVN_rnk,pc_EDC,pc_EDC_rnk,yrs_ED,yrs_ED_rnk,IFPC,IFPC_rnk
Primera,AMAZONAS,BONGARA,YAMBRASBAMBA,Selva,2658,4518,744,PERU_LIBRE,842,43.99,10312,12,7744,611,0.3523,1115,70.77,1402,35.15,1648,4.96,1428,540.5,861
Primera,AMAZONAS,BONGARA,YAMBRASBAMBA,Selva,2658,4518,744,VOTOS_OTROS,765,39.97,10312,12,7744,611,0.3523,1115,70.77,1402,35.15,1648,4.96,1428,540.5,861
Primera,AMAZONAS,CHACHAPOYAS,ASUNCION,Selva,114,285,24,FUERZA_POPULAR,6,6.67,10102,2,267,1861,0.423,765,71.36,1332,71.01,353,6.01,1036,561.1,820
Primera,AMAZONAS,CHACHAPOYAS,ASUNCION,Selva,114,285,24,PERU_LIBRE,14,15.56,10102,2,267,1861,0.423,765,71.36,1332,71.01,353,6.01,1036,561.1,820
Primera,AMAZONAS,CHACHAPOYAS,ASUNCION,Selva,114,285,24,VOTOS_OTROS,70,77.78,10102,2,267,1861,0.423,765,71.36,1332,71.01,353,6.01,1036,561.1,820
Primera,AMAZONAS,CHACHAPOYAS,BALSAS,Selva,504,1012,148,FUERZA_POPULAR,49,13.76,10103,3,1467,1443,0.3153,1355,68.59,1585,32.77,1712,5.19,1344,415,1133
Primera,AMAZONAS,CHACHAPOYAS,BALSAS,Selva,504,1012,148,PERU_LIBRE,117,32.87,10103,3,1467,1443,0.3153,1355,68.59,1585,32.77,1712,5.19,1344,415,1133
Primera,AMAZONAS,CHACHAPOYAS,BALSAS,Selva,504,1012,148,VOTOS_OTROS,190,53.37,10103,3,1467,1443,0.3153,1355,68.59,1585,32.77,1712,5.19,1344,415,1133
Primera,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,Selva,13619,20819,2671,FUERZA_POPULAR,1222,11.16,10101,1,33038,171,0.6424,125,72.19,1204,79.56,76,10.02,136,1259.1,99
Primera,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,Selva,13619,20819,2671,PERU_LIBRE,1695,15.48,10101,1,33038,171,0.6424,125,72.19,1204,79.56,76,10.02,136,1259.1,99
Primera,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,Selva,13619,20819,2671,VOTOS_OTROS,8031,73.36,10101,1,33038,171,0.6424,125,72.19,1204,79.56,76,10.02,136,1259.1,99
Primera,AMAZONAS,CHACHAPOYAS,CHETO,Selva,411,587,115,FUERZA_POPULAR,29,9.8,10104,4,585,1749,0.3457,1159,77.53,463,52.21,1141,4.58,1573,398.7,1173
Primera,AMAZONAS,CHACHAPOYAS,CHETO,Selva,411,587,115,PERU_LIBRE,44,14.86,10104,4,585,1749,0.3457,1159,77.53,463,52.21,1141,4.58,1573,398.7,1173
Primera,AMAZONAS,CHACHAPOYAS,CHETO,Selva,411,587,115,VOTOS_OTROS,223,75.34,10104,4,585,1749,0.3457,1159,77.53,463,52.21,1141,4.58,1573,398.7,1173
Primera,AMAZONAS,CHACHAPOYAS,CHILIQUIN,Selva,324,732,104,FUERZA_POPULAR,88,40,10105,5,391,1829,0.275,1563,72.46,1173,36.87,1599,3.71,1781,325.9,1357
Primera,AMAZONAS,CHACHAPOYAS,CHILIQUIN,Selva,324,732,104,PERU_LIBRE,41,18.64,10105,5,391,1829,0.275,1563,72.46,1173,36.87,1599,3.71,1781,325.9,1357
Primera,AMAZONAS,CHACHAPOYAS,CHILIQUIN,Selva,324,732,104,VOTOS_OTROS,91,41.36,10105,5,391,1829,0.275,1563,72.46,1173,36.87,1599,3.71,1781,325.9,1357
Primera,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,Selva,641,1523,223,FUERZA_POPULAR,125,29.9,10106,6,1789,1365,0.2693,1593,67.01,1682,30.43,1751,5.88,1080,267.4,1510
Primera,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,Selva,641,1523,223,PERU_LIBRE,60,14.35,10106,6,1789,1365,0.2693,1593,67.01,1682,30.43,1751,5.88,1080,267.4,1510
Primera,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,Selva,641,1523,223,VOTOS_OTROS,233,55.74,10106,6,1789,1365,0.2693,1593,67.01,1682,30.43,1751,5.88,1080,267.4,1510
Primera,AMAZONAS,CHACHAPOYAS,GRANADA,Selva,289,427,63,FUERZA_POPULAR,39,17.26,10107,7,337,1844,0.358,1091,66.18,1720,25.71,1814,4.6,1565,766.8,517
Primera,AMAZONAS,CHACHAPOYAS,GRANADA,Selva,289,427,63,PERU_LIBRE,79,34.96,10107,7,337,1844,0.358,1091,66.18,1720,25.71,1814,4.6,1565,766.8,517
Primera,AMAZONAS,CHACHAPOYAS,GRANADA,Selva,289,427,63,VOTOS_OTROS,108,47.79,10107,7,337,1844,0.358,1091,66.18,1720,25.71,1814,4.6,1565,766.8,517
