VueltaE,DEPARTAMENTO,PROVINCIA,DISTRITO,GREGION,votos_emitidos,n_electores_habiles,votos_nulos_blancos,PARTIDO,NVOTOS
Primera,AMERICA,EL SALVADOR,SAN SALVADOR,AMERICA,57,160,6,fuerza_popular,1
Primera,AMERICA,ESTADOS UNIDOS DE AMERICA,ATLANTA,AMERICA,1809,8253,504,fuerza_popular,171
Primera,AMERICA,ESTADOS UNIDOS DE AMERICA,BOSTON,AMERICA,1010,4524,113,fuerza_popular,109
Primera,AMERICA,ESTADOS UNIDOS DE AMERICA,CAROLINA DEL NORTE (CHARLOTTE),AMERICA,677,4734,61,fuerza_popular,69
Primera,AMERICA,ESTADOS UNIDOS DE AMERICA,CHICAGO,AMERICA,967,11256,90,fuerza_popular,97
Primera,AMERICA,ESTADOS UNIDOS DE AMERICA,DALLAS,AMERICA,1294,4922,167,fuerza_popular,122
Primera,AMERICA,ESTADOS UNIDOS DE AMERICA,DENVER,AMERICA,976,4081,139,fuerza_popular,65
Primera,AMERICA,ESTADOS UNIDOS DE AMERICA,HARTFORD,AMERICA,2599,11729,430,fuerza_popular,328
Primera,AMERICA,ESTADOS UNIDOS DE AMERICA,HOUSTON,AMERICA,2166,6984,1087,fuerza_popular,100
Primera,AMERICA,ESTADOS UNIDOS DE AMERICA,LOS ANGELES,AMERICA,5546,31843,2060,fuerza_popular,475
Primera,AMERICA,ESTADOS UNIDOS DE AMERICA,MIAMI,AMERICA,8098,48638,2637,fuerza_popular,597
Primera,AMERICA,ESTADOS UNIDOS DE AMERICA,NUEVA JERSEY,AMERICA,8526,51827,2361,fuerza_popular,1141
Primera,AMERICA,ESTADOS UNIDOS DE AMERICA,NUEVA ORLEANS,AMERICA,133,553,31,fuerza_popular,14
Primera,AMERICA,ESTADOS UNIDOS DE AMERICA,NUEVA YORK,AMERICA,5133,43287,941,fuerza_popular,667
Primera,AMERICA,ESTADOS UNIDOS DE AMERICA,OKLAHOMA,AMERICA,180,1617,28,fuerza_popular,15
Primera,AMERICA,ESTADOS UNIDOS DE AMERICA,PHOENIX,AMERICA,323,1606,32,fuerza_popular,19
Primera,AMERICA,ESTADOS UNIDOS DE AMERICA,SALT LAKE CITY,AMERICA,1333,4942,186,fuerza_popular,151
Primera,AMERICA,ESTADOS UNIDOS DE AMERICA,SAN ANTONIO,AMERICA,623,844,569,fuerza_popular,7
Primera,AMERICA,ESTADOS UNIDOS DE AMERICA,SAN DIEGO,AMERICA,315,1656,27,fuerza_popular,23
Primera,AMERICA,ESTADOS UNIDOS DE AMERICA,SAN FRANCISCO,AMERICA,3035,19348,455,fuerza_popular,340
Primera,AMERICA,ESTADOS UNIDOS DE AMERICA,SEATLE,AMERICA,924,3905,85,fuerza_popular,65
Primera,AMERICA,ESTADOS UNIDOS DE AMERICA,TAMPA,AMERICA,1231,9527,315,fuerza_popular,98
Primera,AMERICA,ESTADOS UNIDOS DE AMERICA,WASHINGTON D. C.,AMERICA,8442,33526,2487,fuerza_popular,775
Primera,AMERICA,GUATEMALA,GUATEMALA,AMERICA,180,447,23,fuerza_popular,17
Primera,AMERICA,GUAYANA FRANCESA,CAYENA,AMERICA,270,581,77,fuerza_popular,38
Primera,AMERICA,HAITI,PUERTO PRINCIPE,AMERICA,3,9,0,fuerza_popular,1
Primera,AMERICA,HONDURAS,TEGUCIGALPA,AMERICA,54,280,3,fuerza_popular,6
Primera,AMERICA,MEXICO,CIUDAD DE MEXICO,AMERICA,899,3625,73,fuerza_popular,73
Primera,AMERICA,MEXICO,GUADALAJARA,AMERICA,189,1039,20,fuerza_popular,11
Primera,AMERICA,MEXICO,MONTERREY,AMERICA,237,798,8,fuerza_popular,29
Primera,AMERICA,NICARAGUA,MANAGUA,AMERICA,65,190,11,fuerza_popular,8
Primera,AMERICA,PANAMA,COLON,AMERICA,14,30,2,fuerza_popular,0
Primera,AMERICA,PANAMA,DAVID,AMERICA,40,88,10,fuerza_popular,7
Primera,AMERICA,PANAMA,PANAMA,AMERICA,1168,2992,277,fuerza_popular,148
Primera,AMERICA,PANAMA,VERAGUAS,AMERICA,20,63,9,fuerza_popular,4
Primera,AMERICA,PARAGUAY,ASUNCION,AMERICA,0,1604,0,fuerza_popular,0
Primera,AMERICA,PUERTO RICO,SAN JUAN,AMERICA,213,776,24,fuerza_popular,17
Primera,AMERICA,REPUBLICA DOMINICANA,SANTIAGO DE LOS CABALLEROS,AMERICA,86,184,9,fuerza_popular,13
Primera,AMERICA,REPUBLICA DOMINICANA,SANTO DOMINGO,AMERICA,436,882,50,fuerza_popular,60
Primera,AMERICA,TRINIDAD TOBAGO,PUERTO ESPAÑA,AMERICA,8,17,0,fuerza_popular,0
Primera,AMERICA,URUGUAY,MONTEVIDEO,AMERICA,588,1421,144,fuerza_popular,48
Primera,AMERICA,VENEZUELA,ARAGUA,AMERICA,0,1159,0,fuerza_popular,0
Primera,AMERICA,VENEZUELA,BARQUISIMETO,AMERICA,0,844,0,fuerza_popular,0
Primera,AMERICA,VENEZUELA,CARABOBO,AMERICA,0,2279,0,fuerza_popular,0
Primera,AMERICA,VENEZUELA,CARACAS,AMERICA,0,10695,0,fuerza_popular,0
Primera,AMERICA,VENEZUELA,MARACAIBO,AMERICA,0,592,0,fuerza_popular,0
Primera,AMERICA,VENEZUELA,NUEVA ESPARTA,AMERICA,0,361,0,fuerza_popular,0
Primera,AMERICA,VENEZUELA,PUERTO ORDAZ,AMERICA,0,3090,0,fuerza_popular,0
Primera,AMERICA,VENEZUELA,TACHIRA,AMERICA,0,691,0,fuerza_popular,0
Primera,ANCASH,AIJA,AIJA,Costa,945,1587,162,fuerza_popular,102
Primera,ANCASH,AIJA,CORIS,Costa,791,1421,200,fuerza_popular,130
Primera,ANCASH,AIJA,HUACLLAN,Costa,251,389,39,fuerza_popular,28
Primera,ANCASH,AIJA,LA MERCED,Costa,1205,1735,272,fuerza_popular,174
Primera,ANCASH,AIJA,SUCCHA,Costa,394,685,105,fuerza_popular,35
Primera,ANCASH,ANTONIO RAIMONDI,ACZO,Costa,898,1508,279,fuerza_popular,46
Primera,ANCASH,ANTONIO RAIMONDI,CHACCHO,Costa,722,1284,218,fuerza_popular,11
Primera,ANCASH,ANTONIO RAIMONDI,CHINGAS,Costa,931,1393,255,fuerza_popular,42
Primera,ANCASH,ANTONIO RAIMONDI,LLAMELLIN,Costa,1317,2164,442,fuerza_popular,52
Primera,ANCASH,ANTONIO RAIMONDI,MIRGAS,Costa,1947,3527,677,fuerza_popular,59
Primera,ANCASH,ANTONIO RAIMONDI,SAN JUAN DE RONTOY,Costa,494,1045,178,fuerza_popular,23
Primera,ANCASH,ASUNCION,ACOCHACA,Costa,1597,2589,533,fuerza_popular,79
Primera,ANCASH,ASUNCION,CHACAS,Costa,2358,3379,737,fuerza_popular,161
Primera,ANCASH,BOLOGNESI,ABELARDO PARDO LEZAMETA,Costa,115,229,20,fuerza_popular,6
Primera,ANCASH,BOLOGNESI,ANTONIO RAIMONDI,Costa,575,1079,141,fuerza_popular,60
Primera,ANCASH,BOLOGNESI,AQUIA,Costa,1162,1723,318,fuerza_popular,164
Primera,ANCASH,BOLOGNESI,CAJACAY,Costa,972,1427,217,fuerza_popular,196
Primera,ANCASH,BOLOGNESI,CANIS,Costa,124,297,17,fuerza_popular,8
Primera,ANCASH,BOLOGNESI,CHIQUIAN,Costa,1796,3095,405,fuerza_popular,121
Primera,ANCASH,BOLOGNESI,COLQUIOC,Costa,1116,1638,205,fuerza_popular,207
Primera,ANCASH,BOLOGNESI,HUALLANCA,Costa,3070,4630,912,fuerza_popular,326
Primera,ANCASH,BOLOGNESI,HUASTA,Costa,750,1343,200,fuerza_popular,95
Primera,ANCASH,BOLOGNESI,HUAYLLACAYAN,Costa,642,1003,181,fuerza_popular,39
Primera,ANCASH,BOLOGNESI,LA PRIMAVERA,Costa,132,292,29,fuerza_popular,5
Primera,ANCASH,BOLOGNESI,MANGAS,Costa,204,427,47,fuerza_popular,26
Primera,ANCASH,BOLOGNESI,PACLLON,Costa,576,897,124,fuerza_popular,33
Primera,ANCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI,Costa,127,226,21,fuerza_popular,18
Primera,ANCASH,BOLOGNESI,TICLLOS,Costa,282,473,97,fuerza_popular,45
Primera,ANCASH,CARHUAZ,ACOPAMPA,Costa,1544,2011,352,fuerza_popular,186
Primera,ANCASH,CARHUAZ,AMASHCA,Costa,1196,1573,389,fuerza_popular,82
Primera,ANCASH,CARHUAZ,ANTA,Costa,1512,2095,336,fuerza_popular,182
Primera,ANCASH,CARHUAZ,ATAQUERO,Costa,1080,1531,337,fuerza_popular,141
Primera,ANCASH,CARHUAZ,CARHUAZ,Costa,8984,11956,2860,fuerza_popular,850
Primera,ANCASH,CARHUAZ,MARCARA,Costa,6247,7919,1908,fuerza_popular,768
Primera,ANCASH,CARHUAZ,PARIAHUANCA,Costa,939,1250,195,fuerza_popular,98
Primera,ANCASH,CARHUAZ,SAN MIGUEL DE ACO,Costa,1650,2100,476,fuerza_popular,178
Primera,ANCASH,CARHUAZ,SHILLA,Costa,2226,3166,704,fuerza_popular,56
Primera,ANCASH,CARHUAZ,TINCO,Costa,1831,2502,412,fuerza_popular,299
Primera,ANCASH,CARHUAZ,YUNGAR,Costa,1911,2569,406,fuerza_popular,300
Primera,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS,Costa,5150,7859,1875,fuerza_popular,220
Primera,ANCASH,CARLOS FERMIN FITZCARRALD,SAN NICOLAS,Costa,1638,2636,717,fuerza_popular,50
Primera,ANCASH,CARLOS FERMIN FITZCARRALD,YAUYA,Costa,2198,3515,821,fuerza_popular,77
Primera,ANCASH,CASMA,BUENA VISTA ALTA,Costa,2498,3636,612,fuerza_popular,493
Primera,ANCASH,CASMA,CASMA,Costa,18021,25659,3663,fuerza_popular,3560
Primera,ANCASH,CASMA,COMANDANTE NOEL,Costa,1510,1987,491,fuerza_popular,316
Primera,ANCASH,CASMA,YAUTAN,Costa,4176,6163,1084,fuerza_popular,913
Primera,ANCASH,CORONGO,ACO,Costa,205,341,61,fuerza_popular,42
Primera,ANCASH,CORONGO,BAMBAS,Costa,229,384,43,fuerza_popular,17
Primera,ANCASH,CORONGO,CORONGO,Costa,745,1167,225,fuerza_popular,96
Primera,ANCASH,CORONGO,CUSCA,Costa,1284,2041,312,fuerza_popular,146
Primera,ANCASH,CORONGO,LA PAMPA,Costa,410,839,121,fuerza_popular,74
Primera,ANCASH,CORONGO,YANAC,Costa,346,608,111,fuerza_popular,42
Primera,ANCASH,CORONGO,YUPAN,Costa,217,308,55,fuerza_popular,52
Primera,ANCASH,HUARAZ,COCHABAMBA,Costa,634,1555,159,fuerza_popular,115
Primera,ANCASH,HUARAZ,COLCABAMBA,Costa,145,282,33,fuerza_popular,17
Primera,ANCASH,HUARAZ,HUANCHAY,Costa,955,1671,297,fuerza_popular,161
Primera,ANCASH,HUARAZ,HUARAZ,Costa,37359,50781,6784,fuerza_popular,2954
Primera,ANCASH,HUARAZ,INDEPENDENCIA,Costa,39782,53411,7312,fuerza_popular,3635
Primera,ANCASH,HUARAZ,JANGAS,Costa,3379,4176,841,fuerza_popular,481
Primera,ANCASH,HUARAZ,LA LIBERTAD,Costa,735,1170,186,fuerza_popular,134
Primera,ANCASH,HUARAZ,OLLEROS,Costa,1907,2601,419,fuerza_popular,192
Primera,ANCASH,HUARAZ,PAMPAS GRANDE,Costa,567,1066,153,fuerza_popular,65
Primera,ANCASH,HUARAZ,PARIACOTO,Costa,2502,3996,676,fuerza_popular,533
Primera,ANCASH,HUARAZ,PIRA,Costa,2461,3571,894,fuerza_popular,350
Primera,ANCASH,HUARAZ,TARICA,Costa,4044,5080,1064,fuerza_popular,557
Primera,ANCASH,HUARI,ANRA,Costa,895,1911,300,fuerza_popular,45
Primera,ANCASH,HUARI,CAJAY,Costa,2219,3114,578,fuerza_popular,89
Primera,ANCASH,HUARI,CHAVIN DE HUANTAR,Costa,4091,6243,1224,fuerza_popular,198
Primera,ANCASH,HUARI,HUACACHI,Costa,1169,2028,317,fuerza_popular,17
Primera,ANCASH,HUARI,HUACCHIS,Costa,839,1571,240,fuerza_popular,52
Primera,ANCASH,HUARI,HUACHIS,Costa,2145,3603,672,fuerza_popular,133
Primera,ANCASH,HUARI,HUANTAR,Costa,1496,2316,375,fuerza_popular,66
Primera,ANCASH,HUARI,HUARI,Costa,4357,6336,1192,fuerza_popular,225
Primera,ANCASH,HUARI,MASIN,Costa,941,1556,239,fuerza_popular,68
Primera,ANCASH,HUARI,PAUCAS,Costa,1016,1889,249,fuerza_popular,42
Primera,ANCASH,HUARI,PONTO,Costa,1563,3237,400,fuerza_popular,40
Primera,ANCASH,HUARI,RAHUAPAMPA,Costa,396,638,73,fuerza_popular,34
Primera,ANCASH,HUARI,RAPAYAN,Costa,827,1538,224,fuerza_popular,27
Primera,ANCASH,HUARI,SAN MARCOS,Costa,10400,16405,2632,fuerza_popular,502
Primera,ANCASH,HUARI,SAN PEDRO DE CHANA,Costa,1642,3046,340,fuerza_popular,43
Primera,ANCASH,HUARI,UCO,Costa,685,1362,173,fuerza_popular,49
Primera,ANCASH,HUARMEY,COCHAPETI,Costa,471,784,118,fuerza_popular,30
Primera,ANCASH,HUARMEY,CULEBRAS,Costa,1402,1966,394,fuerza_popular,485
Primera,ANCASH,HUARMEY,HUARMEY,Costa,13536,19380,2257,fuerza_popular,3826
Primera,ANCASH,HUARMEY,HUAYAN,Costa,429,749,100,fuerza_popular,106
Primera,ANCASH,HUARMEY,MALVAS,Costa,382,773,84,fuerza_popular,57
Primera,ANCASH,HUAYLAS,CARAZ,Costa,13517,18479,3716,fuerza_popular,2121
Primera,ANCASH,HUAYLAS,HUALLANCA,Costa,428,928,80,fuerza_popular,63
Primera,ANCASH,HUAYLAS,HUATA,Costa,769,1188,227,fuerza_popular,153
Primera,ANCASH,HUAYLAS,HUAYLAS,Costa,836,1441,209,fuerza_popular,203
